Data,EVI,Pré-Filtro
18/02/2000,"0,5686","0,5686"
05/03/2000,"0,3502","0,3502"
21/03/2000,"0,6664","0,6664"
06/04/2000,"0,5114","0,5114"
22/04/2000,"0,2812","0,2812"
08/05/2000,"0,5822","0,5822"
24/05/2000,"0,5435","0,5435"
09/06/2000,"0,5466","0,5466"
25/06/2000,"0,4048","0,4048"
11/07/2000,"0,5230","0,5230"
27/07/2000,"0,5583","0,5583"
12/08/2000,"0,5798","0,5798"
28/08/2000,"0,3101","0,3101"
13/09/2000,"0,4493","0,4493"
29/09/2000,"0,6064","0,6064"
15/10/2000,"0,4253","0,4253"
31/10/2000,"0,5620","0,5620"
16/11/2000,"0,5981","0,5981"
02/12/2000,"0,4670","0,4670"
18/12/2000,"0,6349","0,6349"
01/01/2001,"0,0994","0,0994"
17/01/2001,"0,4953","0,4953"
02/02/2001,"0,6977","0,6977"
18/02/2001,"0,3831","0,3831"
06/03/2001,"0,6473","0,6473"
22/03/2001,"0,6878","0,6878"
07/04/2001,"0,6127","0,6127"
23/04/2001,"0,6338","0,6338"
09/05/2001,"0,5564","0,5564"
25/05/2001,"0,5834","0,5834"
10/06/2001,"0,2500","0,2500"
26/06/2001,"0,4125","0,4125"
12/07/2001,"0,5626","0,5626"
28/07/2001,"0,3640","0,3640"
13/08/2001,"0,2134","0,2134"
29/08/2001,"-0,3000","0,3118"
14/09/2001,"0,4101","0,4101"
30/09/2001,"0,1931","0,1931"
16/10/2001,"0,2553","0,2553"
01/11/2001,"0,4321","0,4321"
17/11/2001,"0,4261","0,4261"
03/12/2001,"0,5782","0,5782"
19/12/2001,"0,4056","0,4056"
01/01/2002,"0,6567","0,6567"
17/01/2002,"0,6397","0,6397"
02/02/2002,"0,2145","0,2145"
18/02/2002,"0,4136","0,4136"
06/03/2002,"0,1257","0,1257"
22/03/2002,"0,6469","0,6469"
07/04/2002,"0,5999","0,5999"
23/04/2002,"0,2293","0,2293"
09/05/2002,"0,2963","0,2963"
25/05/2002,"0,5738","0,5738"
10/06/2002,"0,5973","0,5973"
26/06/2002,"0,5881","0,5881"
04/07/2002,"0,5049","0,5049"
12/07/2002,"0,5305","0,5305"
20/07/2002,"0,6001","0,6001"
28/07/2002,"0,4854","0,4854"
05/08/2002,"0,5305","0,5305"
13/08/2002,"0,6260","0,6260"
21/08/2002,"0,5897","0,5897"
29/08/2002,"0,1629","0,1629"
06/09/2002,"0,5712","0,5712"
14/09/2002,"0,2367","0,2367"
22/09/2002,"0,5895","0,5895"
30/09/2002,"0,5336","0,5336"
08/10/2002,"0,4770","0,4770"
16/10/2002,"0,6157","0,6157"
24/10/2002,"0,6828","0,6828"
01/11/2002,"0,7614","0,7614"
09/11/2002,"0,5962","0,5962"
17/11/2002,"0,4960","0,4960"
25/11/2002,"0,6870","0,6870"
03/12/2002,"0,2775","0,2775"
11/12/2002,"0,5233","0,5233"
19/12/2002,"0,4441","0,4441"
27/12/2002,"0,5549","0,5549"
01/01/2003,"0,4441","0,4441"
09/01/2003,"0,5909","0,5909"
17/01/2003,"0,4769","0,4769"
25/01/2003,"0,5488","0,5488"
02/02/2003,"0,4626","0,4626"
10/02/2003,"0,5788","0,5788"
18/02/2003,"0,2180","0,2180"
26/02/2003,"0,6093","0,6093"
06/03/2003,"0,6774","0,6774"
14/03/2003,"0,4277","0,4277"
