Data,NDVI,Pré-Filtro
18/02/2000,"0,8854","0,8854"
05/03/2000,"0,4124","0,4124"
21/03/2000,"0,8933","0,8933"
06/04/2000,"0,8363","0,8363"
22/04/2000,"0,4042","0,4042"
08/05/2000,"0,8603","0,8603"
24/05/2000,"0,8803","0,8803"
09/06/2000,"0,8791","0,8791"
25/06/2000,"0,4756","0,4756"
11/07/2000,"0,8497","0,8497"
27/07/2000,"0,8398","0,8398"
12/08/2000,"0,8702","0,8702"
28/08/2000,"0,5135","0,5135"
13/09/2000,"0,8197","0,8197"
29/09/2000,"0,7429","0,7429"
15/10/2000,"0,4449","0,4449"
31/10/2000,"0,8099","0,8099"
16/11/2000,"0,8884","0,8884"
02/12/2000,"0,6516","0,6516"
18/12/2000,"0,8761","0,8761"
01/01/2001,"0,0765","0,0765"
17/01/2001,"0,9223","0,9223"
02/02/2001,"0,8509","0,8509"
18/02/2001,"0,4279","0,4279"
06/03/2001,"0,8288","0,8288"
22/03/2001,"0,8937","0,8937"
07/04/2001,"0,7979","0,7979"
23/04/2001,"0,8856","0,8856"
09/05/2001,"0,9030","0,9030"
25/05/2001,"0,8942","0,8942"
10/06/2001,"0,2673","0,2673"
26/06/2001,"0,7682","0,7682"
12/07/2001,"0,8634","0,8634"
28/07/2001,"0,7989","0,7989"
13/08/2001,"0,1773","0,1773"
29/08/2001,"-0,3000","0,5062"
14/09/2001,"0,8351","0,8351"
30/09/2001,"0,3923","0,3923"
16/10/2001,"0,2350","0,2350"
01/11/2001,"0,8208","0,8208"
17/11/2001,"0,9647","0,9647"
03/12/2001,"0,8616","0,8616"
19/12/2001,"0,4553","0,4553"
01/01/2002,"0,7837","0,7837"
17/01/2002,"0,9445","0,9445"
02/02/2002,"0,1914","0,1914"
18/02/2002,"0,4960","0,4960"
06/03/2002,"0,0856","0,0856"
22/03/2002,"0,8903","0,8903"
07/04/2002,"0,9553","0,9553"
23/04/2002,"0,1713","0,1713"
09/05/2002,"0,6151","0,6151"
25/05/2002,"0,9034","0,9034"
10/06/2002,"0,8596","0,8596"
26/06/2002,"0,8812","0,8812"
04/07/2002,"0,9008","0,9008"
12/07/2002,"0,9038","0,9038"
20/07/2002,"0,8602","0,8602"
28/07/2002,"0,8098","0,8098"
05/08/2002,"0,8897","0,8897"
13/08/2002,"0,9139","0,9139"
21/08/2002,"0,8573","0,8573"
29/08/2002,"0,1232","0,1232"
06/09/2002,"0,8720","0,8720"
14/09/2002,"0,2588","0,2588"
22/09/2002,"0,8639","0,8639"
30/09/2002,"0,8611","0,8611"
08/10/2002,"0,9087","0,9087"
16/10/2002,"0,8316","0,8316"
24/10/2002,"0,8489","0,8489"
01/11/2002,"0,8682","0,8682"
09/11/2002,"0,8877","0,8877"
17/11/2002,"0,6912","0,6912"
25/11/2002,"0,8363","0,8363"
03/12/2002,"0,4123","0,4123"
11/12/2002,"0,8519","0,8519"
19/12/2002,"0,8866","0,8866"
27/12/2002,"0,8198","0,8198"
01/01/2003,"0,8866","0,8866"
09/01/2003,"0,8194","0,8194"
17/01/2003,"0,8524","0,8524"
25/01/2003,"0,8867","0,8867"
02/02/2003,"0,8060","0,8060"
10/02/2003,"0,8370","0,8370"
18/02/2003,"0,3780","0,3780"
26/02/2003,"0,8666","0,8666"
06/03/2003,"0,8222","0,8222"
14/03/2003,"0,8014","0,8014"
22/03/2003,"0,8798","0,8798"
30/03/2003,"0,8949","0,8949"
07/04/2003,"0,3282","0,3282"
15/04/2003,"0,9431","0,9431"
23/04/2003,"0,9092","0,9092"
01/05/2003,"0,9184","0,9184"
09/05/2003,"0,6646","0,6646"
17/05/2003,"0,9272","0,9272"
25/05/2003,"0,8519","0,8519"
02/06/2003,"0,9064","0,9064"
10/06/2003,"0,9141","0,9141"
18/06/2003,"0,9140","0,9140"
26/06/2003,"0,8980","0,8980"
04/07/2003,"0,8942","0,8942"
12/07/2003,"0,8720","0,8720"
20/07/2003,"0,8983","0,8983"
28/07/2003,"0,9367","0,9367"
05/08/2003,"0,8132","0,8132"
13/08/2003,"0,9196","0,9196"
21/08/2003,"0,8673","0,8673"
29/08/2003,"0,7692","0,7692"
06/09/2003,"0,8896","0,8896"
14/09/2003,"0,7834","0,7834"
22/09/2003,"0,8379","0,8379"
30/09/2003,"0,3678","0,3678"
08/10/2003,"0,8760","0,8760"
16/10/2003,"0,8441","0,8441"
24/10/2003,"0,8887","0,8887"
01/11/2003,"0,9293","0,9293"
09/11/2003,"0,8658","0,8658"
17/11/2003,"0,7100","0,7100"
25/11/2003,"0,8566","0,8566"
03/12/2003,"0,8347","0,8347"
11/12/2003,"0,8650","0,8650"
19/12/2003,"0,8922","0,8922"
27/12/2003,"-0,3000","0,8922"
01/01/2004,"0,8922","0,8922"
09/01/2004,"0,7731","0,7731"
17/01/2004,"0,9019","0,9019"
25/01/2004,"0,8153","0,8153"
02/02/2004,"0,8978","0,8978"
10/02/2004,"0,9140","0,9140"
18/02/2004,"0,8324","0,8324"
26/02/2004,"0,8837","0,8837"
05/03/2004,"0,7168","0,7168"
13/03/2004,"0,7742","0,7742"
21/03/2004,"0,2702","0,2702"
29/03/2004,"0,6957","0,6957"
06/04/2004,"0,8725","0,8725"
14/04/2004,"0,9247","0,9247"
22/04/2004,"0,4770","0,4770"
30/04/2004,"0,9090","0,9090"
08/05/2004,"0,9041","0,9041"
16/05/2004,"0,9283","0,9283"
24/05/2004,"0,9078","0,9078"
01/06/2004,"0,9187","0,9187"
09/06/2004,"0,8899","0,8899"
17/06/2004,"0,9170","0,9170"
25/06/2004,"0,9296","0,9296"
03/07/2004,"0,8897","0,8897"
11/07/2004,"0,8773","0,8773"
19/07/2004,"0,7493","0,7493"
27/07/2004,"0,7815","0,7815"
04/08/2004,"0,8932","0,8932"
12/08/2004,"0,8419","0,8419"
20/08/2004,"0,8641","0,8641"
28/08/2004,"0,8263","0,8263"
05/09/2004,"0,8292","0,8292"
13/09/2004,"0,7752","0,7752"
21/09/2004,"0,5527","0,5527"
29/09/2004,"0,7647","0,7647"
07/10/2004,"0,8621","0,8621"
15/10/2004,"0,8576","0,8576"
23/10/2004,"0,8561","0,8561"
31/10/2004,"0,8780","0,8780"
08/11/2004,"0,8263","0,8263"
16/11/2004,"0,8592","0,8592"
24/11/2004,"0,9217","0,9217"
02/12/2004,"0,8908","0,8908"
10/12/2004,"0,8722","0,8722"
18/12/2004,"0,9119","0,9119"
26/12/2004,"0,8931","0,8931"
01/01/2005,"0,9024","0,9024"
09/01/2005,"0,8796","0,8796"
17/01/2005,"0,8629","0,8629"
25/01/2005,"0,8831","0,8831"
02/02/2005,"0,6475","0,6475"
10/02/2005,"0,8536","0,8536"
18/02/2005,"0,8887","0,8887"
26/02/2005,"0,8872","0,8872"
06/03/2005,"0,6368","0,6368"
14/03/2005,"0,9008","0,9008"
22/03/2005,"0,6062","0,6062"
30/03/2005,"0,9135","0,9135"
07/04/2005,"0,8420","0,8420"
15/04/2005,"0,9200","0,9200"
23/04/2005,"0,7199","0,7199"
01/05/2005,"0,9148","0,9148"
09/05/2005,"0,8979","0,8979"
17/05/2005,"0,8693","0,8693"
25/05/2005,"0,8547","0,8547"
02/06/2005,"0,9187","0,9187"
10/06/2005,"0,9144","0,9144"
18/06/2005,"0,8845","0,8845"
26/06/2005,"0,7294","0,7294"
04/07/2005,"0,9203","0,9203"
12/07/2005,"0,8733","0,8733"
20/07/2005,"0,9171","0,9171"
28/07/2005,"0,7335","0,7335"
05/08/2005,"0,9166","0,9166"
13/08/2005,"0,8497","0,8497"
21/08/2005,"0,9041","0,9041"
29/08/2005,"0,7480","0,7480"
06/09/2005,"0,8570","0,8570"
14/09/2005,"0,8471","0,8471"
22/09/2005,"0,8880","0,8880"
30/09/2005,"0,6959","0,6959"
08/10/2005,"0,8406","0,8406"
16/10/2005,"0,9507","0,9507"
24/10/2005,"0,8583","0,8583"
01/11/2005,"0,9103","0,9103"
09/11/2005,"0,8867","0,8867"
17/11/2005,"0,8520","0,8520"
25/11/2005,"0,8992","0,8992"
03/12/2005,"0,8995","0,8995"
11/12/2005,"0,8703","0,8703"
19/12/2005,"0,7521","0,7521"
27/12/2005,"0,8973","0,8973"
01/01/2006,"0,8518","0,8518"
09/01/2006,"0,9073","0,9073"
17/01/2006,"0,7072","0,7072"
25/01/2006,"0,8896","0,8896"
02/02/2006,"0,7492","0,7492"
10/02/2006,"0,8896","0,8896"
18/02/2006,"0,9082","0,9082"
26/02/2006,"0,8912","0,8912"
06/03/2006,"0,4443","0,4443"
14/03/2006,"0,8664","0,8664"
22/03/2006,"0,4662","0,4662"
30/03/2006,"0,9130","0,9130"
