ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,produto,area_destinada_colheita,area_colhida,quantidade_produzida,rendimento_medio_producao,valor_producao
1974,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,80300,28105.0,350.0,0.0
1975,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,75300,45180.0,600.0,0.0
1976,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,60840,35397.0,582.0,0.0
1977,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,53462,42055.0,787.0,0.0
1978,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,57530,33698.0,586.0,0.0
1979,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,59173,38613.0,653.0,0.0
1980,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,59292,34325.0,578.0,0.0
1981,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,41909,26566.0,634.0,0.0
1982,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,42552,26673.0,627.0,0.0
1983,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,46128,29741.0,645.0,0.0
1984,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,64000,19200.0,300.0,0.0
1985,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,78849,43737.0,555.0,0.0
1986,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,76636,38318.0,500.0,0.0002
1987,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),,76636,38318.0,500.0,0.0008
1988,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),80183,80183,40092.0,500.0,0.0102
1989,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),80183,80183,40092.0,500.0,0.1604
1990,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),71000,71000,30000.0,422.0,1.0909
1991,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),72222,72222,30000.0,415.0,8.7273
1992,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),51163,51163,23023.0,449.0,33.488
1993,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),51683,51683,25841.0,499.0,845.7055
1994,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),51584,51583,27841.0,539.0,25892.0
1995,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),59968,59968,23388.0,390.0,23388.0
1996,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),42320,42320,16928.0,400.0,16928.0
1997,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),60000,60000,24000.0,400.0,28800.0
1998,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),60109,60109,27049.0,449.0,48688.0
1999,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),60952,60952,15318.0,251.0,27879.0
2000,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),70700,70154,10137.0,144.0,20274.0
2001,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),58798,58798,7386.0,125.0,15141.0
2002,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),58798,12000,1800.0,150.0,7560.0
2003,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),12000,12000,1920.0,160.0,9024.0
2004,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),58758,53790,8069.0,150.0,41152.0
2005,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),56456,49746,8987.0,180.0,31904.0
2006,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),55569,49237,9152.0,185.0,32490.0
2007,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),56391,50430,10033.0,198.0,35617.0
2008,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),56911,51354,9881.0,192.0,36560.0
2009,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),54214,49145,9698.0,197.0,45581.0
2010,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),48000,48000,11520.0,240.0,59904.0
2011,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),48000,48000,11520.0,240.0,62208.0
2012,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),47100,47100,13188.0,280.0,74085.0
2013,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),52206,52206,11485.0,220.0,64686.0
2014,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),47000,47000,13019.0,277.0,77463.0
2015,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),47000,47000,13160.0,280.0,128968.0
2016,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),52738,52738,8430.0,160.0,84300.0
2017,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),39641,39641,8350.0,211.0,60037.0
2018,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),37540,37540,9150.0,244.0,82350.0
2019,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),35100,35100,7800.0,222.0,78000.0
2020,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),34800,34800,7540.0,217.0,90480.0
2021,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),37540,37540,8671.0,231.0,111336.0
2022,BA,Bahia,2913606,Ilhéus,Cacau (em amêndoa),34800,34800,7934.0,228.0,99175.0
